# typeid, x, y, z
0  -5.76862478  -5.76827240 -14.27369976
0  -2.88490176  -5.76827240 -14.27369976
0  -0.00117880  -5.76827240 -14.27369976
0   2.88254404  -5.76827240 -14.27369976
0   5.76626682  -5.76827240 -14.27369976
0  -5.76862478  -2.88454962 -14.27369976
0  -2.88490176  -2.88454962 -14.27369976
0  -0.00117880  -2.88454962 -14.27369976
0   2.88254404  -2.88454962 -14.27369976
0   5.76626682  -2.88454962 -14.27369976
0  -5.76862478  -0.00082671 -14.27369976
0  -2.88490176  -0.00082671 -14.27369976
0  -0.00117880  -0.00082671 -14.27369976
0   2.88254404  -0.00082671 -14.27369976
0   5.76626682  -0.00082671 -14.27369976
0  -5.76862478   2.88289618 -14.27369976
0  -2.88490176   2.88289618 -14.27369976
0  -0.00117880   2.88289618 -14.27369976
0   2.88254404   2.88289618 -14.27369976
0   5.76626682   2.88289618 -14.27369976
0  -5.76862478   5.76661921 -14.27369976
0  -2.88490176   5.76661921 -14.27369976
0  -0.00117880   5.76661921 -14.27369976
0   2.88254404   5.76661921 -14.27369976
0   5.76626682   5.76661921 -14.27369976
0  -7.21048594  -7.21013403 -12.23460007
0  -4.32676315  -7.21013403 -12.23460007
0  -1.44304025  -7.21013403 -12.23460007
0   1.44068265  -7.21013403 -12.23460007
0   4.32440567  -7.21013403 -12.23460007
0   7.20812845  -7.21013403 -12.23460007
0  -7.21048594  -4.32641125 -12.23460007
0   7.20812845  -4.32641125 -12.23460007
0  -7.21048594  -1.44268811 -12.23460007
0   7.20812845  -1.44268811 -12.23460007
0  -7.21048594   1.44103467 -12.23460007
0   7.20812845   1.44103467 -12.23460007
0  -7.21048594   4.32475758 -12.23460007
0   7.20812845   4.32475758 -12.23460007
0  -7.21048594   7.20848036 -12.23460007
0  -4.32676315   7.20848036 -12.23460007
0  -1.44304025   7.20848036 -12.23460007
0   1.44068265   7.20848036 -12.23460007
0   4.32440567   7.20848036 -12.23460007
0   7.20812845   7.20848036 -12.23460007
0  -8.65234756  -8.65199566 -10.19550037
0  -5.76862478  -8.65199566 -10.19550037
0  -2.88490176  -8.65199566 -10.19550037
0  -0.00117880  -8.65199566 -10.19550037
0   2.88254404  -8.65199566 -10.19550037
0   5.76626682  -8.65199566 -10.19550037
0   8.64999008  -8.65199566 -10.19550037
0  -8.65234756  -5.76827240 -10.19550037
0   8.64999008  -5.76827240 -10.19550037
0  -8.65234756  -2.88454962 -10.19550037
0   8.64999008  -2.88454962 -10.19550037
0  -8.65234756  -0.00082671 -10.19550037
0   8.64999008  -0.00082671 -10.19550037
0  -8.65234756   2.88289618 -10.19550037
0   8.64999008   2.88289618 -10.19550037
0  -8.65234756   5.76661921 -10.19550037
0   8.64999008   5.76661921 -10.19550037
0  -8.65234756   8.65034199 -10.19550037
0  -5.76862478   8.65034199 -10.19550037
0  -2.88490176   8.65034199 -10.19550037
0  -0.00117880   8.65034199 -10.19550037
0   2.88254404   8.65034199 -10.19550037
0   5.76626682   8.65034199 -10.19550037
0   8.64999008   8.65034199 -10.19550037
0 -10.09420872 -10.09385681  -8.15639973
0  -7.21048594 -10.09385681  -8.15639973
0  -4.32676315 -10.09385681  -8.15639973
0  -1.44304025 -10.09385681  -8.15639973
0   1.44068265 -10.09385681  -8.15639973
0   4.32440567 -10.09385681  -8.15639973
0   7.20812845 -10.09385681  -8.15639973
0  10.09185123 -10.09385681  -8.15639973
0 -10.09420872  -7.21013403  -8.15639973
0  10.09185123  -7.21013403  -8.15639973
0 -10.09420872  -4.32641125  -8.15639973
0  10.09185123  -4.32641125  -8.15639973
0 -10.09420872  -1.44268811  -8.15639973
0  10.09185123  -1.44268811  -8.15639973
0 -10.09420872   1.44103467  -8.15639973
0  10.09185123   1.44103467  -8.15639973
0 -10.09420872   4.32475758  -8.15639973
0  10.09185123   4.32475758  -8.15639973
0 -10.09420872   7.20848036  -8.15639973
0  10.09185123   7.20848036  -8.15639973
0 -10.09420872  10.09220314  -8.15639973
0  -7.21048594  10.09220314  -8.15639973
0  -4.32676315  10.09220314  -8.15639973
0  -1.44304025  10.09220314  -8.15639973
0   1.44068265  10.09220314  -8.15639973
0   4.32440567  10.09220314  -8.15639973
0   7.20812845  10.09220314  -8.15639973
0  10.09185123  10.09220314  -8.15639973
0  -8.65234756 -11.53571796  -6.11730003
0  -5.76862478 -11.53571796  -6.11730003
0  -2.88490176 -11.53571796  -6.11730003
