# typeid, x, y, z
0  -2.88332057  -2.88516331 -10.19550037
0   0.00040230  -2.88516331 -10.19550037
0   2.88412523  -2.88516331 -10.19550037
0  -2.88332057  -0.00144035 -10.19550037
0   0.00040230  -0.00144035 -10.19550037
0   2.88412523  -0.00144035 -10.19550037
0  -2.88332057   2.88228250 -10.19550037
0   0.00040230   2.88228250 -10.19550037
0   2.88412523   2.88228250 -10.19550037
0  -4.32518196  -4.32702446  -8.15639973
0  -1.44145918  -4.32702446  -8.15639973
0   1.44226372  -4.32702446  -8.15639973
0   4.32598639  -4.32702446  -8.15639973
0  -4.32518196  -1.44330180  -8.15639973
0   4.32598639  -1.44330180  -8.15639973
0  -4.32518196   1.44042110  -8.15639973
0   4.32598639   1.44042110  -8.15639973
0  -4.32518196   4.32414389  -8.15639973
0  -1.44145918   4.32414389  -8.15639973
0   1.44226372   4.32414389  -8.15639973
0   4.32598639   4.32414389  -8.15639973
0  -5.76704359  -5.76888609  -6.11730003
0  -2.88332057  -5.76888609  -6.11730003
0   0.00040230  -5.76888609  -6.11730003
0   2.88412523  -5.76888609  -6.11730003
0   5.76784801  -5.76888609  -6.11730003
0  -5.76704359  -2.88516331  -6.11730003
0   5.76784801  -2.88516331  -6.11730003
0  -5.76704359  -0.00144035  -6.11730003
0   5.76784801  -0.00144035  -6.11730003
0  -5.76704359   2.88228250  -6.11730003
0   5.76784801   2.88228250  -6.11730003
0  -5.76704359   5.76600552  -6.11730003
0  -2.88332057   5.76600552  -6.11730003
0   0.00040230   5.76600552  -6.11730003
0   2.88412523   5.76600552  -6.11730003
0   5.76784801   5.76600552  -6.11730003
0  -7.20890474  -7.21074772  -4.07819986
0  -4.32518196  -7.21074772  -4.07819986
0  -1.44145918  -7.21074772  -4.07819986
0   1.44226372  -7.21074772  -4.07819986
0   4.32598639  -7.21074772  -4.07819986
0   7.20970964  -7.21074772  -4.07819986
0  -7.20890474  -4.32702446  -4.07819986
0   7.20970964  -4.32702446  -4.07819986
0  -7.20890474  -1.44330180  -4.07819986
0   7.20970964  -1.44330180  -4.07819986
0  -7.20890474   1.44042110  -4.07819986
0   7.20970964   1.44042110  -4.07819986
0  -7.20890474   4.32414389  -4.07819986
0   7.20970964   4.32414389  -4.07819986
0  -7.20890474   7.20786667  -4.07819986
0  -4.32518196   7.20786667  -4.07819986
0  -1.44145918   7.20786667  -4.07819986
0   1.44226372   7.20786667  -4.07819986
0   4.32598639   7.20786667  -4.07819986
0   7.20970964   7.20786667  -4.07819986
0  -5.76704359  -8.65260887  -2.03909993
0  -2.88332057  -8.65260887  -2.03909993
0   0.00040230  -8.65260887  -2.03909993
0   2.88412523  -8.65260887  -2.03909993
0   5.76784801  -8.65260887  -2.03909993
0  -8.65076637  -5.76888609  -2.03909993
0   8.65157127  -5.76888609  -2.03909993
0  -8.65076637  -2.88516331  -2.03909993
0   8.65157127  -2.88516331  -2.03909993
0  -8.65076637  -0.00144035  -2.03909993
0   8.65157127  -0.00144035  -2.03909993
0  -8.65076637   2.88228250  -2.03909993
0   8.65157127   2.88228250  -2.03909993
0  -8.65076637   5.76600552  -2.03909993
0   8.65157127   5.76600552  -2.03909993
0  -5.76704359   8.64972782  -2.03909993
0  -2.88332057   8.64972782  -2.03909993
0   0.00040230   8.64972782  -2.03909993
0   2.88412523   8.64972782  -2.03909993
0   5.76784801   8.64972782  -2.03909993
0  -4.32518196 -10.09447002   0.00000000
0  -1.44145918 -10.09447002   0.00000000
0   1.44226372 -10.09447002   0.00000000
0   4.32598639 -10.09447002   0.00000000
0  -7.20890474  -7.21074772   0.00000000
0   7.20970964  -7.21074772   0.00000000
0 -10.09262753  -4.32702446   0.00000000
0  10.09343243  -4.32702446   0.00000000
0 -10.09262753  -1.44330180   0.00000000
0  10.09343243  -1.44330180   0.00000000
0 -10.09262753   1.44042110   0.00000000
0  10.09343243   1.44042110   0.00000000
0 -10.09262753   4.32414389   0.00000000
0  10.09343243   4.32414389   0.00000000
0  -7.20890474   7.20786667   0.00000000
0   7.20970964   7.20786667   0.00000000
0  -4.32518196  10.09158993   0.00000000
0  -1.44145918  10.09158993   0.00000000
0   1.44226372  10.09158993   0.00000000
0   4.32598639  10.09158993   0.00000000
0  -5.76704359  -8.65260887   2.03909993
0  -2.88332057  -8.65260887   2.03909993
0   0.00040230  -8.65260887   2.03909993
0   2.88412523  -8.65260887   2.03909993
0   5.76784801  -8.65260887   2.03909993
0  -8.65076637  -5.76888609   2.03909993
0   8.65157127  -5.76888609   2.03909993
0  -8.65076637  -2.88516331   2.03909993
0   8.65157127  -2.88516331   2.03909993
0  -8.65076637  -0.00144035   2.03909993
0   8.65157127  -0.00144035   2.03909993
0  -8.65076637   2.88228250   2.03909993
0   8.65157127   2.88228250   2.03909993
0  -8.65076637   5.76600552   2.03909993
0   8.65157127   5.76600552   2.03909993
0  -5.76704359   8.64972782   2.03909993
0  -2.88332057   8.64972782   2.03909993
0   0.00040230   8.64972782   2.03909993
0   2.88412523   8.64972782   2.03909993
0   5.76784801   8.64972782   2.03909993
0  -7.20890474  -7.21074772   4.07819986
0  -4.32518196  -7.21074772   4.07819986
0  -1.44145918  -7.21074772   4.07819986
0   1.44226372  -7.21074772   4.07819986
0   4.32598639  -7.21074772   4.07819986
0   7.20970964  -7.21074772   4.07819986
0  -7.20890474  -4.32702446   4.07819986
0   7.20970964  -4.32702446   4.07819986
0  -7.20890474  -1.44330180   4.07819986
0   7.20970964  -1.44330180   4.07819986
0  -7.20890474   1.44042110   4.07819986
0   7.20970964   1.44042110   4.07819986
0  -7.20890474   4.32414389   4.07819986
0   7.20970964   4.32414389   4.07819986
0  -7.20890474   7.20786667   4.07819986
0  -4.32518196   7.20786667   4.07819986
0  -1.44145918   7.20786667   4.07819986
0   1.44226372   7.20786667   4.07819986
0   4.32598639   7.20786667   4.07819986
0   7.20970964   7.20786667   4.07819986
0  -5.76704359  -5.76888609   6.11730003
0  -2.88332057  -5.76888609   6.11730003
0   0.00040230  -5.76888609   6.11730003
0   2.88412523  -5.76888609   6.11730003
0   5.76784801  -5.76888609   6.11730003
0  -5.76704359  -2.88516331   6.11730003
0   5.76784801  -2.88516331   6.11730003
0  -5.76704359  -0.00144035   6.11730003
0   5.76784801  -0.00144035   6.11730003
0  -5.76704359   2.88228250   6.11730003
0   5.76784801   2.88228250   6.11730003
0  -5.76704359   5.76600552   6.11730003
0  -2.88332057   5.76600552   6.11730003
0   0.00040230   5.76600552   6.11730003
0   2.88412523   5.76600552   6.11730003
0   5.76784801   5.76600552   6.11730003
0  -4.32518196  -4.32702446   8.15639973
0  -1.44145918  -4.32702446   8.15639973
0   1.44226372  -4.32702446   8.15639973
0   4.32598639  -4.32702446   8.15639973
0  -4.32518196  -1.44330180   8.15639973
0   4.32598639  -1.44330180   8.15639973
0  -4.32518196   1.44042110   8.15639973
0   4.32598639   1.44042110   8.15639973
0  -4.32518196   4.32414389   8.15639973
0  -1.44145918   4.32414389   8.15639973
0   1.44226372   4.32414389   8.15639973
0   4.32598639   4.32414389   8.15639973
0  -2.88332057  -2.88516331  10.19550037
0   0.00040230  -2.88516331  10.19550037
0   2.88412523  -2.88516331  10.19550037
0  -2.88332057  -0.00144035  10.19550037
0   0.00040230  -0.00144035  10.19550037
0   2.88412523  -0.00144035  10.19550037
0  -2.88332057   2.88228250  10.19550037
0   0.00040230   2.88228250  10.19550037
0   2.88412523   2.88228250  10.19550037
1   9.85761356   8.31114197  -3.45443511
1   7.17604351  10.20549965   0.12320416
