# typeid, x, y, z
0  -3.11765575  -2.65334415 -10.19550037
0  -0.23393288  -2.65334415 -10.19550037
0   2.64979005  -2.65334415 -10.19550037
0  -3.11765575   0.23037878 -10.19550037
0  -0.23393288   0.23037878 -10.19550037
0   2.64979005   0.23037878 -10.19550037
0  -3.11765575   3.11410165 -10.19550037
0  -0.23393288   3.11410165 -10.19550037
0   2.64979005   3.11410165 -10.19550037
0  -4.55951738  -4.09520531  -8.15639973
0  -1.67579436  -4.09520531  -8.15639973
0   1.20792854  -4.09520531  -8.15639973
0   4.09165144  -4.09520531  -8.15639973
0  -4.55951738  -1.21148264  -8.15639973
0   4.09165144  -1.21148264  -8.15639973
0  -4.55951738   1.67224026  -8.15639973
0   4.09165144   1.67224026  -8.15639973
0  -4.55951738   4.55596304  -8.15639973
0  -1.67579436   4.55596304  -8.15639973
0   1.20792854   4.55596304  -8.15639973
0   4.09165144   4.55596304  -8.15639973
0  -6.00137854  -5.53706694  -6.11730003
0  -3.11765575  -5.53706694  -6.11730003
0  -0.23393288  -5.53706694  -6.11730003
0   2.64979005  -5.53706694  -6.11730003
0   5.53351307  -5.53706694  -6.11730003
0  -6.00137854  -2.65334415  -6.11730003
0   5.53351307  -2.65334415  -6.11730003
0  -6.00137854   0.23037878  -6.11730003
0   5.53351307   0.23037878  -6.11730003
0  -6.00137854   3.11410165  -6.11730003
0   5.53351307   3.11410165  -6.11730003
0  -6.00137854   5.99782467  -6.11730003
0  -3.11765575   5.99782467  -6.11730003
0  -0.23393288   5.99782467  -6.11730003
0   2.64979005   5.99782467  -6.11730003
0   5.53351307   5.99782467  -6.11730003
0  -7.44324017  -6.97892857  -4.07819986
0  -4.55951738  -6.97892857  -4.07819986
0  -1.67579436  -6.97892857  -4.07819986
0   1.20792854  -6.97892857  -4.07819986
0   4.09165144  -6.97892857  -4.07819986
0   6.97537422  -6.97892857  -4.07819986
0  -7.44324017  -4.09520531  -4.07819986
0   6.97537422  -4.09520531  -4.07819986
0  -7.44324017  -1.21148264  -4.07819986
0   6.97537422  -1.21148264  -4.07819986
0  -7.44324017   1.67224026  -4.07819986
0   6.97537422   1.67224026  -4.07819986
0  -7.44324017   4.55596304  -4.07819986
0   6.97537422   4.55596304  -4.07819986
0  -4.55951738   7.43968582  -4.07819986
0  -1.67579436   7.43968582  -4.07819986
0   1.20792854   7.43968582  -4.07819986
0   4.09165144   7.43968582  -4.07819986
0   6.97537422   7.43968582  -4.07819986
0  -6.00137854  -8.42078972  -2.03909993
0  -3.11765575  -8.42078972  -2.03909993
0  -0.23393288  -8.42078972  -2.03909993
0   2.64979005  -8.42078972  -2.03909993
0   5.53351307  -8.42078972  -2.03909993
0  -8.88510132  -5.53706694  -2.03909993
0   8.41723537  -5.53706694  -2.03909993
0  -8.88510132  -2.65334415  -2.03909993
0   8.41723537  -2.65334415  -2.03909993
0  -8.88510132   0.23037878  -2.03909993
0   8.41723537   0.23037878  -2.03909993
0  -8.88510132   3.11410165  -2.03909993
0   8.41723537   3.11410165  -2.03909993
0  -6.00137854   5.99782467  -2.03909993
0   8.41723537   5.99782467  -2.03909993
0  -3.11765575   8.88154697  -2.03909993
0  -0.23393288   8.88154697  -2.03909993
0   2.64979005   8.88154697  -2.03909993
0   5.53351307   8.88154697  -2.03909993
0  -4.55951738  -9.86265087   0.00000000
0  -1.67579436  -9.86265087   0.00000000
0   1.20792854  -9.86265087   0.00000000
0   4.09165144  -9.86265087   0.00000000
0  -7.44324017  -6.97892857   0.00000000
0   6.97537422  -6.97892857   0.00000000
0 -10.32696342  -4.09520531   0.00000000
