# typeid, x, y, z
0  -3.82125688  -4.83015013 -15.27463531
0  -0.93753392  -4.83015013 -15.27463531
0   1.94618893  -4.83015013 -15.27463531
0   4.82991171  -4.83015013 -15.27463531
0  -3.82125688  -1.94642699 -15.27463531
0  -0.93753392  -1.94642699 -15.27463531
0   1.94618893  -1.94642699 -15.27463531
0   4.82991171  -1.94642699 -15.27463531
0  -3.82125688   0.93729585 -15.27463531
0  -0.93753392   0.93729585 -15.27463531
0   1.94618893   0.93729585 -15.27463531
0   4.82991171   0.93729585 -15.27463531
0  -3.82125688   3.82101870 -15.27463531
0  -0.93753392   3.82101870 -15.27463531
0   1.94618893   3.82101870 -15.27463531
0   4.82991171   3.82101870 -15.27463531
0  -5.26311827  -6.27201128 -13.23553562
0  -2.37939525  -6.27201128 -13.23553562
0   0.50432754  -6.27201128 -13.23553562
0   3.38805032  -6.27201128 -13.23553562
0   6.27177334  -6.27201128 -13.23553562
0  -5.26311827  -3.38828850 -13.23553562
0   6.27177334  -3.38828850 -13.23553562
0  -5.26311827  -0.50456560 -13.23553562
0   6.27177334  -0.50456560 -13.23553562
0  -5.26311827   2.37915730 -13.23553562
0   6.27177334   2.37915730 -13.23553562
0  -5.26311827   5.26288033 -13.23553562
0  -2.37939525   5.26288033 -13.23553562
0   0.50432754   5.26288033 -13.23553562
0   3.38805032   5.26288033 -13.23553562
0   6.27177334   5.26288033 -13.23553562
0  -6.70497990  -7.71387291 -11.19643593
0  -3.82125688  -7.71387291 -11.19643593
0  -0.93753392  -7.71387291 -11.19643593
0   1.94618893  -7.71387291 -11.19643593
0   4.82991171  -7.71387291 -11.19643593
0   7.71363449  -7.71387291 -11.19643593
0  -6.70497990  -4.83015013 -11.19643593
0   7.71363449  -4.83015013 -11.19643593
0  -6.70497990  -1.94642699 -11.19643593
0   7.71363449  -1.94642699 -11.19643593
0  -6.70497990   0.93729585 -11.19643593
0   7.71363449   0.93729585 -11.19643593
0  -6.70497990   3.82101870 -11.19643593
0   7.71363449   3.82101870 -11.19643593
0  -6.70497990   6.70474148 -11.19643593
0  -3.82125688   6.70474148 -11.19643593
0  -0.93753392   6.70474148 -11.19643593
0   1.94618893   6.70474148 -11.19643593
0   4.82991171   6.70474148 -11.19643593
0   7.71363449   6.70474148 -11.19643593
0  -8.14684105  -9.15573406  -9.15733528
0  -5.26311827  -9.15573406  -9.15733528
0  -2.37939525  -9.15573406  -9.15733528
0   0.50432754  -9.15573406  -9.15733528
0   3.38805032  -9.15573406  -9.15733528
0   6.27177334  -9.15573406  -9.15733528
0   9.15549660  -9.15573406  -9.15733528
0  -8.14684105  -6.27201128  -9.15733528
0   9.15549660  -6.27201128  -9.15733528
0  -8.14684105  -3.38828850  -9.15733528
0   9.15549660  -3.38828850  -9.15733528
0  -8.14684105  -0.50456560  -9.15733528
0   9.15549660  -0.50456560  -9.15733528
0  -8.14684105   2.37915730  -9.15733528
0   9.15549660   2.37915730  -9.15733528
0  -8.14684105   5.26288033  -9.15733528
0   9.15549660   5.26288033  -9.15733528
0  -8.14684105   8.14660263  -9.15733528
0  -5.26311827   8.14660263  -9.15733528
0  -2.37939525   8.14660263  -9.15733528
0   0.50432754   8.14660263  -9.15733528
0   3.38805032   8.14660263  -9.15733528
0   6.27177334   8.14660263  -9.15733528
0   9.15549660   8.14660263  -9.15733528
0  -9.58870220 -10.59759521  -7.11823559
0  -6.70497990 -10.59759521  -7.11823559
0  -3.82125688 -10.59759521  -7.11823559
0  -0.93753392 -10.59759521  -7.11823559
0   1.94618893 -10.59759521  -7.11823559
0   4.82991171 -10.59759521  -7.11823559
0   7.71363449 -10.59759521  -7.11823559
0  10.59735775 -10.59759521  -7.11823559
0  -9.58870220  -7.71387291  -7.11823559
0  10.59735775  -7.71387291  -7.11823559
0  -9.58870220  -4.83015013  -7.11823559
0  10.59735775  -4.83015013  -7.11823559
0  -9.58870220  -1.94642699  -7.11823559
0  10.59735775  -1.94642699  -7.11823559
0  -9.58870220   0.93729585  -7.11823559
0  10.59735775   0.93729585  -7.11823559
0  -9.58870220   3.82101870  -7.11823559
0  10.59735775   3.82101870  -7.11823559
0  -9.58870220   6.70474148  -7.11823559
0  10.59735775   6.70474148  -7.11823559
0  -9.58870220   9.58846474  -7.11823559
0  -6.70497990   9.58846474  -7.11823559
0  -3.82125688   9.58846474  -7.11823559
0  -0.93753392   9.58846474  -7.11823559
0   1.94618893   9.58846474  -7.11823559
0   4.82991171   9.58846474  -7.11823559
0   7.71363449   9.58846474  -7.11823559
0  10.59735775   9.58846474  -7.11823559
0  -8.14684105 -12.03945732  -5.07913589
0  -5.26311827 -12.03945732  -5.07913589
0  -2.37939525 -12.03945732  -5.07913589
0   0.50432754 -12.03945732  -5.07913589
0   3.38805032 -12.03945732  -5.07913589
0   6.27177334 -12.03945732  -5.07913589
0   9.15549660 -12.03945732  -5.07913589
0 -11.03056431  -9.15573406  -5.07913589
0  12.03921890  -9.15573406  -5.07913589
0 -11.03056431  -6.27201128  -5.07913589
0  12.03921890  -6.27201128  -5.07913589
0 -11.03056431  -3.38828850  -5.07913589
0  12.03921890  -3.38828850  -5.07913589
0 -11.03056431  -0.50456560  -5.07913589
0  12.03921890  -0.50456560  -5.07913589
0 -11.03056431   2.37915730  -5.07913589
0  12.03921890   2.37915730  -5.07913589
0 -11.03056431   5.26288033  -5.07913589
0  12.03921890   5.26288033  -5.07913589
0 -11.03056431   8.14660263  -5.07913589
0  12.03921890   8.14660263  -5.07913589
0  -8.14684105  11.03032589  -5.07913589
0  -5.26311827  11.03032589  -5.07913589
0  -2.37939525  11.03032589  -5.07913589
0   0.50432754  11.03032589  -5.07913589
0   3.38805032  11.03032589  -5.07913589
0   6.27177334  11.03032589  -5.07913589
0   9.15549660  11.03032589  -5.07913589
0  -6.70497990 -13.48131847  -3.04003572
0  -3.82125688 -13.48131847  -3.04003572
0  -0.93753392 -13.48131847  -3.04003572
0   1.94618893 -13.48131847  -3.04003572
0   4.82991171 -13.48131847  -3.04003572
0   7.71363449 -13.48131847  -3.04003572
0  -9.58870220 -10.59759521  -3.04003572
0  10.59735775 -10.59759521  -3.04003572
0 -12.47242546  -7.71387291  -3.04003572
0  13.48108006  -7.71387291  -3.04003572
0 -12.47242546  -4.83015013  -3.04003572
0  13.48108006  -4.83015013  -3.04003572
0 -12.47242546  -1.94642699  -3.04003572
0  13.48108006  -1.94642699  -3.04003572
0 -12.47242546   0.93729585  -3.04003572
0  13.48108006   0.93729585  -3.04003572
0 -12.47242546   3.82101870  -3.04003572
0  13.48108006   3.82101870  -3.04003572
0 -12.47242546   6.70474148  -3.04003572
0  13.48108006   6.70474148  -3.04003572
0  -9.58870220   9.58846474  -3.04003572
0  10.59735775   9.58846474  -3.04003572
0  -6.70497990  12.47218704  -3.04003572
0  -3.82125688  12.47218704  -3.04003572
0  -0.93753392  12.47218704  -3.04003572
0   1.94618893  12.47218704  -3.04003572
0   4.82991171  12.47218704  -3.04003572
0   7.71363449  12.47218704  -3.04003572
0  -5.26311827 -14.92317963  -1.00093567
0  -2.37939525 -14.92317963  -1.00093567
0   0.50432754 -14.92317963  -1.00093567
0   3.38805032 -14.92317963  -1.00093567
0   6.27177334 -14.92317963  -1.00093567
0  -8.14684105 -12.03945732  -1.00093567
0   9.15549660 -12.03945732  -1.00093567
0 -11.03056431  -9.15573406  -1.00093567
0  12.03921890  -9.15573406  -1.00093567
0 -13.91428661  -6.27201128  -1.00093567
0  14.92294216  -6.27201128  -1.00093567
0 -13.91428661  -3.38828850  -1.00093567
0  14.92294216  -3.38828850  -1.00093567
0 -13.91428661  -0.50456560  -1.00093567
0  14.92294216  -0.50456560  -1.00093567
0 -13.91428661   2.37915730  -1.00093567
0  14.92294216   2.37915730  -1.00093567
0 -13.91428661   5.26288033  -1.00093567
0  14.92294216   5.26288033  -1.00093567
0 -11.03056431   8.14660263  -1.00093567
0  12.03921890   8.14660263  -1.00093567
0  -8.14684105  11.03032589  -1.00093567
0   9.15549660  11.03032589  -1.00093567
0  -5.26311827  13.91404915  -1.00093567
0  -2.37939525  13.91404915  -1.00093567
0   0.50432754  13.91404915  -1.00093567
0   3.38805032  13.91404915  -1.00093567
0   6.27177334  13.91404915  -1.00093567
0  -6.70497990 -13.48131847   1.03816438
0  -3.82125688 -13.48131847   1.03816438
0  -0.93753392 -13.48131847   1.03816438
0   1.94618893 -13.48131847   1.03816438
0   4.82991171 -13.48131847   1.03816438
0   7.71363449 -13.48131847   1.03816438
0  -9.58870220 -10.59759521   1.03816438
0  10.59735775 -10.59759521   1.03816438
0 -12.47242546  -7.71387291   1.03816438
0  13.48108006  -7.71387291   1.03816438
0 -15.35614872  -4.83015013   1.03816438
0  13.48108006  -4.83015013   1.03816438
0 -15.35614872  -1.94642699   1.03816438
0  13.48108006  -1.94642699   1.03816438
0 -15.35614872   0.93729585   1.03816438
0  13.48108006   0.93729585   1.03816438
0 -15.35614872   3.82101870   1.03816438
0  13.48108006   3.82101870   1.03816438
0 -12.47242546   6.70474148   1.03816438
0  13.48108006   6.70474148   1.03816438
0  -9.58870220   9.58846474   1.03816438
0  10.59735775   9.58846474   1.03816438
0  -6.70497990  12.47218704   1.03816438
0   7.71363449  12.47218704   1.03816438
0  -3.82125688  15.35591030   1.03816438
0  -0.93753392  15.35591030   1.03816438
0   1.94618893  15.35591030   1.03816438
0   4.82991171  15.35591030   1.03816438
0  -8.14684105 -12.03945732   3.07726431
0  -5.26311827 -12.03945732   3.07726431
