# typeid, x, y, z
0  -4.86150360  -6.30322218 -19.37145042
0  -1.97778070  -6.30322218 -19.37145042
0   0.90594214  -6.30322218 -19.37145042
0   3.78966498  -6.30322218 -19.37145042
0   6.67338800  -6.30322218 -19.37145042
0  -4.86150360  -3.41949916 -19.37145042
0  -1.97778070  -3.41949916 -19.37145042
0   0.90594214  -3.41949916 -19.37145042
0   3.78966498  -3.41949916 -19.37145042
0   6.67338800  -3.41949916 -19.37145042
0  -4.86150360  -0.53577632 -19.37145042
0  -1.97778070  -0.53577632 -19.37145042
0   0.90594214  -0.53577632 -19.37145042
0   3.78966498  -0.53577632 -19.37145042
0   6.67338800  -0.53577632 -19.37145042
0  -4.86150360   2.34794664 -19.37145042
0  -1.97778070   2.34794664 -19.37145042
0   0.90594214   2.34794664 -19.37145042
0   3.78966498   2.34794664 -19.37145042
0   6.67338800   2.34794664 -19.37145042
0  -4.86150360   5.23166943 -19.37145042
0  -1.97778070   5.23166943 -19.37145042
0   0.90594214   5.23166943 -19.37145042
0   3.78966498   5.23166943 -19.37145042
0   6.67338800   5.23166943 -19.37145042
0  -6.30336523  -7.74508333 -17.33234978
0  -3.41964221  -7.74508333 -17.33234978
0  -0.53591931  -7.74508333 -17.33234978
0   2.34780359  -7.74508333 -17.33234978
0   5.23152637  -7.74508333 -17.33234978
0   8.11524963  -7.74508333 -17.33234978
0  -6.30336523  -4.86136055 -17.33234978
0   8.11524963  -4.86136055 -17.33234978
0  -6.30336523  -1.97763777 -17.33234978
0   8.11524963  -1.97763777 -17.33234978
0  -6.30336523   0.90608513 -17.33234978
0   8.11524963   0.90608513 -17.33234978
0  -6.30336523   3.78980803 -17.33234978
0   8.11524963   3.78980803 -17.33234978
0  -6.30336523   6.67353106 -17.33234978
0  -3.41964221   6.67353106 -17.33234978
0  -0.53591931   6.67353106 -17.33234978
0   2.34780359   6.67353106 -17.33234978
0   5.23152637   6.67353106 -17.33234978
0   8.11524963   6.67353106 -17.33234978
0  -7.74522638  -9.18694496 -15.29325008
0  -4.86150360  -9.18694496 -15.29325008
0  -1.97778070  -9.18694496 -15.29325008
0   0.90594214  -9.18694496 -15.29325008
0   3.78966498  -9.18694496 -15.29325008
0   6.67338800  -9.18694496 -15.29325008
0   9.55711079  -9.18694496 -15.29325008
0  -7.74522638  -6.30322218 -15.29325008
0   9.55711079  -6.30322218 -15.29325008
0  -7.74522638  -3.41949916 -15.29325008
0   9.55711079  -3.41949916 -15.29325008
0  -7.74522638  -0.53577632 -15.29325008
0   9.55711079  -0.53577632 -15.29325008
0  -7.74522638   2.34794664 -15.29325008
0   9.55711079   2.34794664 -15.29325008
0  -7.74522638   5.23166943 -15.29325008
0   9.55711079   5.23166943 -15.29325008
0  -7.74522638   8.11539268 -15.29325008
0  -4.86150360   8.11539268 -15.29325008
0  -1.97778070   8.11539268 -15.29325008
0   0.90594214   8.11539268 -15.29325008
0   3.78966498   8.11539268 -15.29325008
0   6.67338800   8.11539268 -15.29325008
0   9.55711079   8.11539268 -15.29325008
0  -9.18708801 -10.62880611 -13.25415039
0  -6.30336523 -10.62880611 -13.25415039
0  -3.41964221 -10.62880611 -13.25415039
0  -0.53591931 -10.62880611 -13.25415039
0   2.34780359 -10.62880611 -13.25415039
0   5.23152637 -10.62880611 -13.25415039
0   8.11524963 -10.62880611 -13.25415039
0  10.99897194 -10.62880611 -13.25415039
0  -9.18708801  -7.74508333 -13.25415039
0  10.99897194  -7.74508333 -13.25415039
0  -9.18708801  -4.86136055 -13.25415039
0  10.99897194  -4.86136055 -13.25415039
0  -9.18708801  -1.97763777 -13.25415039
0  10.99897194  -1.97763777 -13.25415039
0  -9.18708801   0.90608513 -13.25415039
0  10.99897194   0.90608513 -13.25415039
0  -9.18708801   3.78980803 -13.25415039
0  10.99897194   3.78980803 -13.25415039
0  -9.18708801   6.67353106 -13.25415039
0  10.99897194   6.67353106 -13.25415039
0  -9.18708801   9.55725384 -13.25415039
0  -6.30336523   9.55725384 -13.25415039
0  -3.41964221   9.55725384 -13.25415039
0  -0.53591931   9.55725384 -13.25415039
0   2.34780359   9.55725384 -13.25415039
0   5.23152637   9.55725384 -13.25415039
0   8.11524963   9.55725384 -13.25415039
0  10.99897194   9.55725384 -13.25415039
0 -10.62894917 -12.07066822 -11.21504974
0  -7.74522638 -12.07066822 -11.21504974
0  -4.86150360 -12.07066822 -11.21504974
0  -1.97778070 -12.07066822 -11.21504974
0   0.90594214 -12.07066822 -11.21504974
0   3.78966498 -12.07066822 -11.21504974
0   6.67338800 -12.07066822 -11.21504974
0   9.55711079 -12.07066822 -11.21504974
0  12.44083405 -12.07066822 -11.21504974
0 -10.62894917  -9.18694496 -11.21504974
0  12.44083405  -9.18694496 -11.21504974
0 -10.62894917  -6.30322218 -11.21504974
0  12.44083405  -6.30322218 -11.21504974
0 -10.62894917  -3.41949916 -11.21504974
0  12.44083405  -3.41949916 -11.21504974
0 -10.62894917  -0.53577632 -11.21504974
0  12.44083405  -0.53577632 -11.21504974
0 -10.62894917   2.34794664 -11.21504974
0  12.44083405   2.34794664 -11.21504974
0 -10.62894917   5.23166943 -11.21504974
0  12.44083405   5.23166943 -11.21504974
0 -10.62894917   8.11539268 -11.21504974
0  12.44083405   8.11539268 -11.21504974
0 -10.62894917  10.99911499 -11.21504974
0  -7.74522638  10.99911499 -11.21504974
0  -4.86150360  10.99911499 -11.21504974
0  -1.97778070  10.99911499 -11.21504974
0   0.90594214  10.99911499 -11.21504974
0   3.78966498  10.99911499 -11.21504974
0   6.67338800  10.99911499 -11.21504974
0   9.55711079  10.99911499 -11.21504974
0  12.44083405  10.99911499 -11.21504974
0 -12.07081127 -13.51252937  -9.17595005
0  -9.18708801 -13.51252937  -9.17595005
0  -6.30336523 -13.51252937  -9.17595005
0  -3.41964221 -13.51252937  -9.17595005
0  -0.53591931 -13.51252937  -9.17595005
0   2.34780359 -13.51252937  -9.17595005
0   5.23152637 -13.51252937  -9.17595005
0   8.11524963 -13.51252937  -9.17595005
0  10.99897194 -13.51252937  -9.17595005
0  13.88269520 -13.51252937  -9.17595005
0 -12.07081127 -10.62880611  -9.17595005
0  13.88269520 -10.62880611  -9.17595005
0 -12.07081127  -7.74508333  -9.17595005
0  13.88269520  -7.74508333  -9.17595005
0 -12.07081127  -4.86136055  -9.17595005
0  13.88269520  -4.86136055  -9.17595005
0 -12.07081127  -1.97763777  -9.17595005
0  13.88269520  -1.97763777  -9.17595005
0 -12.07081127   0.90608513  -9.17595005
0  13.88269520   0.90608513  -9.17595005
0 -12.07081127   3.78980803  -9.17595005
0  13.88269520   3.78980803  -9.17595005
0 -12.07081127   6.67353106  -9.17595005
0  13.88269520   6.67353106  -9.17595005
0 -12.07081127   9.55725384  -9.17595005
0  13.88269520   9.55725384  -9.17595005
0 -12.07081127  12.44097710  -9.17595005
0  -9.18708801  12.44097710  -9.17595005
0  -6.30336523  12.44097710  -9.17595005
0  -3.41964221  12.44097710  -9.17595005
0  -0.53591931  12.44097710  -9.17595005
0   2.34780359  12.44097710  -9.17595005
0   5.23152637  12.44097710  -9.17595005
0   8.11524963  12.44097710  -9.17595005
0  10.99897194  12.44097710  -9.17595005
0  13.88269520  12.44097710  -9.17595005
0 -13.51267242 -14.95439053  -7.13684988
0 -10.62894917 -14.95439053  -7.13684988
0  -7.74522638 -14.95439053  -7.13684988
0  -4.86150360 -14.95439053  -7.13684988
0  -1.97778070 -14.95439053  -7.13684988
0   0.90594214 -14.95439053  -7.13684988
0   3.78966498 -14.95439053  -7.13684988
0   6.67338800 -14.95439053  -7.13684988
0   9.55711079 -14.95439053  -7.13684988
0  12.44083405 -14.95439053  -7.13684988
0 -13.51267242 -12.07066822  -7.13684988
0  15.32455635 -12.07066822  -7.13684988
0 -13.51267242  -9.18694496  -7.13684988
0  15.32455635  -9.18694496  -7.13684988
0 -13.51267242  -6.30322218  -7.13684988
0  15.32455635  -6.30322218  -7.13684988
0 -13.51267242  -3.41949916  -7.13684988
0  15.32455635  -3.41949916  -7.13684988
0 -13.51267242  -0.53577632  -7.13684988
0  15.32455635  -0.53577632  -7.13684988
0 -13.51267242   2.34794664  -7.13684988
0  15.32455635   2.34794664  -7.13684988
0 -13.51267242   5.23166943  -7.13684988
0  15.32455635   5.23166943  -7.13684988
0 -13.51267242   8.11539268  -7.13684988
0  15.32455635   8.11539268  -7.13684988
0 -13.51267242  10.99911499  -7.13684988
0  15.32455635  10.99911499  -7.13684988
0 -13.51267242  13.88283825  -7.13684988
0 -10.62894917  13.88283825  -7.13684988
0  -7.74522638  13.88283825  -7.13684988
0  -4.86150360  13.88283825  -7.13684988
0  -1.97778070  13.88283825  -7.13684988
0   0.90594214  13.88283825  -7.13684988
0   3.78966498  13.88283825  -7.13684988
0   6.67338800  13.88283825  -7.13684988
0   9.55711079  13.88283825  -7.13684988
0  12.44083405  13.88283825  -7.13684988
0 -12.07081127 -16.39625168  -5.09775019
0  -9.18708801 -16.39625168  -5.09775019
0  -6.30336523 -16.39625168  -5.09775019
0  -3.41964221 -16.39625168  -5.09775019
0  -0.53591931 -16.39625168  -5.09775019
0   2.34780359 -16.39625168  -5.09775019
0   5.23152637 -16.39625168  -5.09775019
0   8.11524963 -16.39625168  -5.09775019
0  10.99897194 -16.39625168  -5.09775019
0 -14.95453358 -13.51252937  -5.09775019
0  13.88269520 -13.51252937  -5.09775019
0 -14.95453358 -10.62880611  -5.09775019
0  16.76641846 -10.62880611  -5.09775019
0 -14.95453358  -7.74508333  -5.09775019
0  16.76641846  -7.74508333  -5.09775019
0 -14.95453358  -4.86136055  -5.09775019
0  16.76641846  -4.86136055  -5.09775019
0 -14.95453358  -1.97763777  -5.09775019
0  16.76641846  -1.97763777  -5.09775019
0 -14.95453358   0.90608513  -5.09775019
0  16.76641846   0.90608513  -5.09775019
0 -14.95453358   3.78980803  -5.09775019
0  16.76641846   3.78980803  -5.09775019
0 -14.95453358   6.67353106  -5.09775019
0  16.76641846   6.67353106  -5.09775019
0 -14.95453358   9.55725384  -5.09775019
0  16.76641846   9.55725384  -5.09775019
0 -14.95453358  12.44097710  -5.09775019
0  13.88269520  12.44097710  -5.09775019
0 -12.07081127  15.32469940  -5.09775019
0  -9.18708801  15.32469940  -5.09775019
0  -6.30336523  15.32469940  -5.09775019
0  -3.41964221  15.32469940  -5.09775019
0  -0.53591931  15.32469940  -5.09775019
0   2.34780359  15.32469940  -5.09775019
0   5.23152637  15.32469940  -5.09775019
0   8.11524963  15.32469940  -5.09775019
0  10.99897194  15.32469940  -5.09775019
0 -10.62894917 -17.83811378  -3.05865002
0  -7.74522638 -17.83811378  -3.05865002
0  -4.86150360 -17.83811378  -3.05865002
0  -1.97778070 -17.83811378  -3.05865002
0   0.90594214 -17.83811378  -3.05865002
0   3.78966498 -17.83811378  -3.05865002
0   6.67338800 -17.83811378  -3.05865002
0   9.55711079 -17.83811378  -3.05865002
0 -13.51267242 -14.95439053  -3.05865002
0  12.44083405 -14.95439053  -3.05865002
0 -16.39639473 -12.07066822  -3.05865002
0  15.32455635 -12.07066822  -3.05865002
0 -16.39639473  -9.18694496  -3.05865002
0  18.20827866  -9.18694496  -3.05865002
0 -16.39639473  -6.30322218  -3.05865002
0  18.20827866  -6.30322218  -3.05865002
0 -16.39639473  -3.41949916  -3.05865002
0  18.20827866  -3.41949916  -3.05865002
0 -16.39639473  -0.53577632  -3.05865002
0  18.20827866  -0.53577632  -3.05865002
0 -16.39639473   2.34794664  -3.05865002
0  18.20827866   2.34794664  -3.05865002
0 -16.39639473   5.23166943  -3.05865002
0  18.20827866   5.23166943  -3.05865002
0 -16.39639473   8.11539268  -3.05865002
0  18.20827866   8.11539268  -3.05865002
0 -16.39639473  10.99911499  -3.05865002
0  15.32455635  10.99911499  -3.05865002
0 -13.51267242  13.88283825  -3.05865002
0  12.44083405  13.88283825  -3.05865002
0 -10.62894917  16.76656151  -3.05865002
0  -7.74522638  16.76656151  -3.05865002
0  -4.86150360  16.76656151  -3.05865002
0  -1.97778070  16.76656151  -3.05865002
0   0.90594214  16.76656151  -3.05865002
0   3.78966498  16.76656151  -3.05865002
0   6.67338800  16.76656151  -3.05865002
0   9.55711079  16.76656151  -3.05865002
0  -9.18708801 -19.27997589  -1.01954997
0  -6.30336523 -19.27997589  -1.01954997
0  -3.41964221 -19.27997589  -1.01954997
0  -0.53591931 -19.27997589  -1.01954997
0   2.34780359 -19.27997589  -1.01954997
0   5.23152637 -19.27997589  -1.01954997
0   8.11524963 -19.27997589  -1.01954997
0 -12.07081127 -16.39625168  -1.01954997
0  10.99897194 -16.39625168  -1.01954997
0 -14.95453358 -13.51252937  -1.01954997
0  13.88269520 -13.51252937  -1.01954997
0 -17.83825684 -10.62880611  -1.01954997
0  16.76641846 -10.62880611  -1.01954997
0 -17.83825684  -7.74508333  -1.01954997
0  19.65014076  -7.74508333  -1.01954997
0 -17.83825684  -4.86136055  -1.01954997
0  19.65014076  -4.86136055  -1.01954997
0 -17.83825684  -1.97763777  -1.01954997
0  19.65014076  -1.97763777  -1.01954997
0 -17.83825684   0.90608513  -1.01954997
0  19.65014076   0.90608513  -1.01954997
0 -17.83825684   3.78980803  -1.01954997
0  19.65014076   3.78980803  -1.01954997
0 -17.83825684   6.67353106  -1.01954997
0  19.65014076   6.67353106  -1.01954997
0 -17.83825684   9.55725384  -1.01954997
0  16.76641846   9.55725384  -1.01954997
0 -14.95453358  12.44097710  -1.01954997
0  13.88269520  12.44097710  -1.01954997
0 -12.07081127  15.32469940  -1.01954997
0  10.99897194  15.32469940  -1.01954997
0  -9.18708801  18.20842171  -1.01954997
0  -6.30336523  18.20842171  -1.01954997
0  -3.41964221  18.20842171  -1.01954997
0  -0.53591931  18.20842171  -1.01954997
0   2.34780359  18.20842171  -1.01954997
0   5.23152637  18.20842171  -1.01954997
0   8.11524963  18.20842171  -1.01954997
0 -10.62894917 -17.83811378   1.01954997
0  -7.74522638 -17.83811378   1.01954997
